total years;R;Pn;battery sc./base sc. cost ratio;battery sc. tot. cost;base sc. tot. cost
60;30;4;118.368;6.96602e+09;5.88504e+09
60;30;8;118.368;1.3932e+10;1.17701e+10
60;30;16;118.368;2.78641e+10;2.35401e+10
60;30;32;121.619;5.2847e+10;4.3453e+10
60;30;64;121.619;1.05694e+11;8.6906e+10
60;30;128;121.619;2.11388e+11;1.73812e+11
60;30;256;121.619;4.22776e+11;3.47624e+11
60;30;512;121.619;8.45551e+11;6.95248e+11
60;30;1024;121.619;1.6911e+12;1.3905e+12
60;35;1;114.023;1.62279e+09;1.42322e+09
60;35;2;114.023;3.24558e+09;2.84644e+09
60;35;4;114.023;6.49116e+09;5.69288e+09
60;35;8;114.023;1.29823e+10;1.13858e+10
60;35;16;114.023;2.59647e+10;2.27715e+10
60;35;32;114.023;5.19293e+10;4.5543e+10
60;35;64;113.758;1.04549e+11;9.19044e+10
60;35;128;113.758;2.09098e+11;1.83809e+11
60;35;256;113.758;4.18195e+11;3.67618e+11
60;35;512;113.758;8.3639e+11;7.35235e+11
60;35;1024;113.758;1.67278e+12;1.47047e+12
60;40;1;110.276;1.59354e+09;1.44505e+09
60;40;2;110.276;3.18708e+09;2.89009e+09
60;40;4;110.276;6.37416e+09;5.78018e+09
60;40;8;110.276;1.27483e+10;1.15604e+10
60;40;16;110.276;2.54966e+10;2.31207e+10
60;40;32;110.276;5.09932e+10;4.62415e+10
60;40;64;109.967;1.03595e+11;9.42055e+10
60;40;128;109.967;2.07189e+11;1.88411e+11
60;40;256;109.967;4.14379e+11;3.76822e+11
60;40;512;109.967;8.28758e+11;7.53644e+11
60;40;1024;109.967;1.65752e+12;1.50729e+12
60;45;1;106.85;1.57279e+09;1.47196e+09
60;45;2;105.957;3.24873e+09;3.06607e+09
60;45;4;105.957;6.49745e+09;6.13214e+09
60;45;8;105.957;1.29949e+10;1.22643e+10
60;45;16;105.957;2.59898e+10;2.45286e+10
60;45;32;105.957;5.19796e+10;4.90571e+10
60;45;64;106.869;1.00296e+11;9.38491e+10
60;45;128;106.869;2.00592e+11;1.87698e+11
60;45;256;106.869;4.01183e+11;3.75396e+11
